mergeID,isConfliting,existsCommonSlices,totalCommonSlices
09fa8dab66b82ee46e6d63c240d7ee6a10a5873a,0,0,0
3e9c4e20e75cf3916f0b193b396d00b09bf000a9,1,0,0
712b1331fb5f9d8736212dc40cb0364529300a18,1,0,0
4e5e5501477c13114a8eb4ae658e15df456590aa,0,0,0
32f5876d4d7f6e450cc43550d5f2fd449d31e6b4,1,0,0
df884e57e2d0e4ab5356a563bb8161ac422045ba,0,0,0
3ed5bc6f4837f8f9c4e3dcde0b7c7df595768919,0,0,0
b2c1ff19199a4cdacd4fc7bc882858ec2115ec81,0,0,0
f0327278721ad9d30b9b38eb3e05fe375a3ac7ca,1,1,1
f6b01aa4d9e51be9f049bb2846d00f3e9b28e920,0,1,1
7e5c7dd4eb722eb38f9bffac0d9d66468104289c,0,0,0
f8458ec971aeccfe2aaa49465738d847d693e1e0,0,0,0
cca2bb1247c80b025e12b00c3ca9943d3268fa4f,0,0,0
494e26204851be93e4e4636b99bf4587e91f1959,0,0,0
aff2e3cfd8d579bef75f502b3b34d02d9b70aee9,0,1,40
83961ed01fa6270f77849f29dcca03692912f879,0,0,0
9dc6aa5d9e2b1455872328e2658751ae1d5d2d7c,0,0,0
c8a81b622c6080a396cb40c0a188007e4c69be2b,0,0,0
00eb0af8085464aac61548020b412ec0df21d983,0,0,0
e3e3402dee8a40c9b3712a61f5e56a7fb09e5613,0,1,1
a6865a760fc09cbdcbb06de9e85deda7b5628915,0,0,0
8cf856ab04be5d6889a80180b76a51ed1fbf7f59,1,0,0
7b6625cd5460689503023d1745f3f288cd179704,0,0,0
f4d2118bb02b748ff2d4a2519df0bd07c40722eb,0,0,0
58d241b48d72a4b338f235ebfab499071b5ace0c,0,0,0
e7484a6015efb0f54baf2f983cbb6df75e508283,0,0,0
43b485562a30fa0c3ac2dfbba144dcbcc27be47f,0,0,0
e8be70c3cf44d3f126b69d8641011495aece1e7c,0,0,0
0b29bd3dac92509140bbaae3bef0ae0904e72dc7,1,0,0
f78140ecca15ca4fcfd3f09319692c0986e63d17,0,0,0
