mergeID,isConfliting,existsCommonSlices,totalCommonSlices
c623d28723ba1734cac23345ff3cdb3774aa8f51,0,0,0
a87605661bc78363ad7581cab6655e304bd0a33e,0,0,0
68b60a02863be9a525f9d6d3b2ad8b9464b9636a,1,1,70
c667305f259da957657ede8ff7a3d6d82b332c93,0,0,0
f4c762026d9737967fc0aca181b51d2124e81acf,0,0,0
76720094c1624087ca7811891d8125d17b57d447,0,0,0
29973a74ddeaa0a5f28d1677c9541909be48b812,0,1,1
efb3cf51411bd470daaff7aa2db1f26b254af236,0,0,0
edecf946b268d94590e05cd3325a50b1a39f06b2,0,0,0
7aedeae7baf697fddd54372b22f65b22d694dd58,1,1,15
159d977187c5fd14660a7e9b6f9808d2330a7445,0,0,0
aa49668008a75a595287943fe4b3529848108b27,0,0,0
e02e55d041db4e3f7a4c82780bd68fc7a712730f,0,0,0
5b23b29111037edd83f14c1935106f80617e8c94,0,1,2
c42e5b80bd6579ddcb88bdbf002ddc703b18736c,1,0,0
fafcc015e0cc23886bf59e6d83a12ea08130d2c2,1,1,33
0393447bf3e9eaeb96fc7f2233e640ddf42b0280,0,0,0
7a02014e1b445c1eb0a997ba9708b56eecd2abf1,1,1,1
f418aa3e3ee76577fdfe5ea01dacc6290200659f,0,1,1
4cbfb0bb484faabb1e849e901db6b2a416135be5,1,1,4
e4575f59cb88a53d32ca5d481703574d9992480c,0,0,0
544ecd1c497099eb67da403e027af221241708b7,1,0,0
3a91b49cda4c15c835a0e4e8e06febe266712c37,1,0,0
0a8259d5a8b4387f06765f88cda64296539734e9,0,0,0
04f95ce7f2bc1d58ab149854a8a3c633956cb0dd,0,1,5
8c876225b42c9233930c4b82ba1a06af644966c0,0,0,0
e300c1383eb06892034d7e5cf0206e1993ff1bdf,0,1,1
332eee0736b36ff1dd37358c41db26c8f4e3a188,0,1,8
69ca9ec3af3c34ccbf36828731c68571ab22065f,0,1,20
40da3e5dec6fcb2758d12c9f242b3b57f49f88a2,1,1,12
