mergeID,isConfliting,existsCommonSlices,totalCommonSlices,leftComponents,rightComponents
83d2ab95e015b17f284a1ae1b184e35a7e1caf76,0,0,0,[],[]
96ba46f21d765fb89c4f28819ca2876b67c62d08,0,0,0,[],[]
cd65f1dffc44a7d615ae3d2ab06dc02c57bbb953,0,0,0,[],[Main@ ReCaptcha@ Error@ SearchInfoItem]
f1691050cd878cf6e61ff22d094c4ad142a813c8,0,1,1,[Router@ VideoDetail],[Main@ VideoDetail]
71a8361580ed07e079f3191ed8cbdc6768f1e1dc,1,0,0,[],[Main@ Router@ License@ LicenseHelper@ BaseState@ Blank@ VideoDetail@ BaseList@ Channel@ Feed@ Kiosk@ Playlist@ Search@ SuggestionList@ Subscription@ History@ SearchHistory@ WatchedHistory@ BackgroundPlayer@ PlayerBinder@ PopupVideoPlayer@ Player@ Load@ Lock@ MediaSource@ PlayQueue@ BasePreference@ ContentSettings@ SelectChannel@ SelectKiosk@ IconMapper]
aa06e3490d3bffac0f76625dca3a89baf452c393,0,0,0,[Settings],[]
f7983960e52c8048ca2f33da630a5b395eb9f286,0,0,0,[],[]
9627fdf33f4c9baadbe99d035685b83a185c2447,0,0,0,[],[]
96291a85222198878c6dbf22ecd6baaf4a1bf49b,0,0,0,[],[]
23615a39acfd206f938ed2d226b6a855874528e5,0,0,0,[],[About@ License]
df608b9ded3dde50e496a5c06bd430390e07d8b0,0,0,0,[],[VideoDetail]
2aa28d6453ddafb1d2b45a01130cdb56be13b79a,0,0,0,[],[]
9c3f7a91399593c163a4718b597f8fa1d982b150,0,0,0,[],[]
0b3428ede9d1f6c6d8aaeb04d44f93ac75b6a252,0,0,0,[],[]
6e11ca1ac47c8cb989a1a97735bc11346ce607a2,0,0,0,[Router@ Channel@ Playlist@ Search@ DownloadSettings@ FilePickerHelper],[]
8126fdcd15767937d3402115ccd304fd2872ba1b,0,0,0,[],[VideoItemDetail]
f7a531e71beb81f33593d3801135ac55fb7a73cc,0,0,0,[],[Channel@ Main@ VideoItemDetail@ Download@ List@ Streaming@ UrlId@ Youtube@ YoutubeStreamUrlId@ Error@ SearchInfoItem]
200db15d4b86d9ec69c4ecf0e04dea151e58b723,0,0,0,[VideoItemDetail],[]
4eae02e47e8c7a32ba036684b092100b91d9d6ac,0,0,0,[],[]
a4f5c9e2a3e171aa881f13c325a6c6515a6a0bf0,0,0,0,[],[]
4160bbb8c46a9a764453d6ec8cef393a4296a10a,0,0,0,[],[Main@ Helper]
594c55afa691f3f632c9519c4789af5bc3ef2ce1,0,0,0,[],[Base@ Subscription@ BaseState@ Main@ BaseList@ Channel@ Feed@ SubscriptionsImport@ ContentSettings@ DownloadSettings@ SelectChannel@ BaseImportExport@ SubscriptionsExport@ FilePickerHelper@ Helper@ Collapsible]
51d4d0d3dc5197f97e8ded7807037344f0a51a3c,0,0,0,[],[Main@ Router@ RouterPopup@ Base@ Channel@ VideoDetail@ Search@ Settings]
c6ccc2b20dfa94f4f1cc1966231f1e665464b9ce,0,0,0,[VideoInfoItemCreator@ VideoItemDetail@ VideoItemList@ List@ PlayVideo],[]
7f01e9a4d97089e7f45c7c919e45553a7ab84a7b,0,0,0,[ActionBar@ PlayVideo@ List@ Streaming@ VideoInfoItemCreator@ VideoItemDetail@ VideoItemList@ VideoList@ Youtube],[]
953a89f3a16219ffda5d798e4a105cd19967220a,0,0,0,[Main@ Router@ About@ BaseState@ VideoDetail@ BaseList@ Channel@ Feed@ Kiosk@ Playlist@ Search@ SuggestionList@ LocalItemList@ LocalPlaylist@ RemotePlaylist@ BaseLocalList@ Bookmark@ LastPlayed@ MostPlayed@ StatisticsPlaylist@ Subscription@ SubscriptionsImport@ History@ HistoryEntry@ HistoryRecord@ SearchHistory@ WatchHistory@ BaseImportExport@ SubscriptionsExport@ Player@ MediaSource@ PlayQueue@ Error@ HistorySettings@ SelectChannel@ DownloadImpl@ Mission],[ContentSettings]
bdd57f3b3eb916f5cba7529dadf1edc978fc286c,0,0,0,[],[Settings]
5d4269be4c105f41d7cf4df4ae5d05edb694e52d,1,0,0,[Main@ Router@ BaseState@ BaseList@ Channel@ Feed@ Kiosk@ Subscription@ BasePreference@ ContentSettings@ SelectChannel@ SelectKiosk@ IconMapper],[VideoDetail@ BaseListInfo@ Search]
c4d0ba549fe22c9dd140fef14a4c5063f8ab1f7a,0,0,0,[],[]
c27e9d5901031b86652cbf46c6ba8bd1e89c0b6c,0,0,0,[],[]
