mergeCommitID, isConflicting, leftLifetime, rightLifetime, arithmeticMeanLifetime, geometricMeanLifetime, deltaLifetime
4f8fbf9ed98f646c994d890dc8fd0ffab32e7072,false,56,47,51.5,51.3,9
ae849077c78770f096f40e9360250b9e32d14f40,false,1,42,21.5,6.48,41
95f5085a91be1a360f758e6e990c10d2a5dc128f,false,1,1,1.0,1.0,0
332ed1b883aa6a1b76beeca857551e9fc5b01202,false,9,1,5.0,3.0,8
162aa9afcfd629e90b84ecfe4d6287c7c671958a,false,1,0,0.5,0.0,1
1a460979183b26a0474c129d5aa27d0e6b796e1c,false,1,1,1.0,1.0,0
2c3f7921d212f3769c8308cf56d51573da541dfc,false,4,1,2.5,2.0,3
0ac3706d4fc107034395c190be0bb2365dd822e6,false,0,1,0.5,0.0,1
0fea81a82366ca23e53263ddcf5986a7f0367fd4,false,6,1,3.5,2.45,5
1ccbdfab497c68bdb92041b6bbb469c75e57fd8f,false,0,1,0.5,0.0,1
66d36ec00f4932d17ba10eb0b81ed47c8ea94d49,false,1,1,1.0,1.0,0
67aca21858cbc407260ce6742bb59ddd8bca5657,false,0,73,36.5,0.0,73
b5365e2d3453d06a94967a9579ab9c1718238a56,false,10,1,5.5,3.16,9
7da9e8876be9ef8dfd1a54c170d62d5dd8de16f1,false,194,60,127.0,107.89,134
8337739ab44af3c52b30f194fa06c09ba30a2dc2,true,111,10,60.5,33.32,101
fdf3fea58477ef6cbf4f647fbf4667026027d498,false,1,1,1.0,1.0,0
07c2818cc5d67f27623673b94a4759558d42d8ce,false,39,1,20.0,6.24,38
dd6d07ada181a5cd05af3e976b31f3f4ad157aea,false,3,0,1.5,0.0,3
c921eba52342f52038e5ac6f9a088dde24d10c9e,false,2,1,1.5,1.41,1
cd0d23d2606c35d783457f2a945f539382018285,false,137,15,76.0,45.33,122
5526937698c6d45188ff273a3b18866da443c29c,true,12,28,20.0,18.33,16
0eab73d85bf29df0ee7d161d370e55ddea392350,false,1,1,1.0,1.0,0
1bb1f0990f6b9fb6b30383083aa592fd40c4c72e,true,4,5,4.5,4.47,1
8683277627f4cf60b4093c8b8e5276264af65845,false,4,0,2.0,0.0,4
85e1924085793ec4a19f8ebbb6453fde819ef85b,false,5,1,3.0,2.24,4
c7d2975039d209556c5dc37a424549a4e9bba25c,false,105,1,53.0,10.25,104
98a0b46bed65b6489923be7364bb9894901ae6fc,false,2,1,1.5,1.41,1
58e7118618b256f0a0cdff8750d5e6bb3c8ba8a8,false,1,1,1.0,1.0,0
f6794d170c820dffbc653c269bb031abc020ab45,false,6,1,3.5,2.45,5
5d36790182e1b9f8c624de06681698f43e243457,false,18,36,27.0,25.46,18
