mergeCommitID, isConflicting, leftLifetime, rightLifetime, arithmeticMeanLifetime, geometricMeanLifetime, deltaLifetime
9ed5830ad605a6891bc67100393ec24bfeeefe4d,false,21,1,11.0,4.58,20
8f2c5466fa963d93503e8cc46e1bb05c1c1f2185,false,314,1,157.5,17.72,313
58fd430940fc630f04fc73f00e6c055f597bcbb7,false,314,19,166.5,77.24,295
c69517a077b91f6f0e30a8c2559a39d1e00bcdd3,false,84,1,42.5,9.17,83
79173d9f1210bfe8ef29f0c00b4d83aa45162271,false,7,1,4.0,2.65,6
1d68b3cdddfafcd79657379d668fc38b04f20c2b,false,12,1,6.5,3.46,11
3e722154fa9fece6e2811278e32e8059feb0ddc4,false,1,133,67.0,11.53,132
5ef8101414f923a8fc9244d1b1b529b48d6d1276,true,225,1,113.0,15.0,224
047079a8bbb68e6589c7c1d1daa5b25ac92cfcd0,false,18,2,10.0,6.0,16
604b2d999d1064f8549f86cb910582df2310a01a,false,2,1,1.5,1.41,1
4dcea88ce1c4653aaa1569d9d3bcb80b88c9de68,true,278,1,139.5,16.67,277
6afbaa2a78fde3cba4a5f8f964be92abb7527416,false,85,1,43.0,9.22,84
00c94183f8a7016df27637f7262b8ff324eed7c3,false,36,1,18.5,6.0,35
23d27a9df05a4d4455628b5c2fd8f1e0850fd19e,false,93,1,47.0,9.64,92
4091aa502ef2b67ebca82e3987f3270d4f19e3c2,false,107,1,54.0,10.34,106
3b0c0b8dd178b973929b1ca511357b1ae90a61b6,false,1,1,1.0,1.0,0
9b67695b8a70a018493fa01924d67dbdb9560bd3,false,1,1,1.0,1.0,0
c8b75d0d4387dc02b617c8bb7432afd5071d0fc8,false,62,1,31.5,7.87,61
0d4141e71e0828b45a44924b9258ca9fb568fa08,false,1,1,1.0,1.0,0
75d80dca513294109e5eb68c7c75ebc5b78eb5ae,false,29,1,15.0,5.39,28
7ccb211baabd22bf394f158ae116df414fedb4de,false,82,1,41.5,9.06,81
56b85216670c91ed12bbdf73e0fd3023a13b874f,false,19,1,10.0,4.36,18
524b1ebbeb9dafc66cbaef9ac595d97ab55d063b,false,1,1,1.0,1.0,0
2d078d53767ed634a22826a7c088efc91c528903,false,1,1,1.0,1.0,0
b023b8bfbf790476a386f1b2f427fe5dcca5fc43,false,32,1,16.5,5.66,31
f32361a70647652a07e0387693e40d8e4f63d142,false,69,1,35.0,8.31,68
88d0b0438e41ad3aff04879b6bb0f4789ee05936,false,46,1,23.5,6.78,45
f04883c40f4b805fcc2c2c10c12b569eae085bb9,false,7,1,4.0,2.65,6
ce2719263ef6cc77ea2c24d5cb8602c763a5c895,false,193,1,97.0,13.89,192
f388d55d28296a38eb17d7d7e497edb427c0a1ab,false,155,1,78.0,12.45,154
